lambda ion Z num_e gl gu fosc P
903.9616 "C II" 6 5 2 2 0.336 11.04
906.206 "N I" 7 7 4 2 0.00557 8.75
906.433 "N I" 7 7 4 4 0.0112 9.06
906.617 "N I" 7 7 4 6 0.0167 9.23
906.885 "S II" 16 15 4 6 0.187 9.5
907.3752 MgII 12 11 2 4 0.000442 7.18
907.4115 MgII 12 11 2 2 0.000221 6.88
909.6976 "N I" 7 7 4 6 0.00667 8.83
910.2785 "N I" 7 7 4 4 0.00445 8.66
910.484 "S II" 16 15 4 4 0.124 9.32
910.6456 "N I" 7 7 4 2 0.00222 8.36
912.653 CrIII 24 22 1 3 0.000793 5.54
912.735 "S II" 16 15 4 2 0.062 9.02
912.768 "H I" 1 1 2 6 5.81e-05 10.72
912.839 "H I" 1 1 2 6 6.43e-05 10.77
912.918 "H I" 1 1 2 6 7.15e-05 10.81
913.006 "H I" 1 1 2 6 7.97e-05 10.86
913.104 "H I" 1 1 2 6 8.93e-05 10.91
913.215 "H I" 1 1 2 6 0.0001 10.96
913.339 "H I" 1 1 2 6 0.000114 11.02
913.48 "H I" 1 1 2 6 0.000129 11.07
913.641 "H I" 1 1 2 6 0.000148 11.13
913.826 "H I" 1 1 2 6 0.00017 11.19
913.968 "P III" 15 13 2 4 0.203 7.84
914.039 "H I" 1 1 2 6 0.000197 11.26
914.286 "H I" 1 1 2 6 0.00023 11.32
914.576 "H I" 1 1 2 6 0.00027 11.39
914.919 "H I" 1 1 2 6 0.000321 11.47
915.329 "H I" 1 1 2 6 0.000386 11.55
915.6131 "N II" 7 6 1 3 0.16 10.22
915.824 "H I" 1 1 2 6 0.000469 11.63
916.429 "H I" 1 1 2 6 0.000578 11.72
916.815 "O I" 8 8 5 7 0.000398 8.49
916.815 "O I" 8 8 5 5 7.1e-05 7.74
916.815 "O I" 8 8 5 3 4.74e-06 6.57
917.118 "P III" 15 13 2 2 0.405 8.14
917.1806 "H I" 1 1 2 6 0.000723 11.82
918.044 "O I" 8 8 5 7 0.000516 8.61
918.044 "O I" 8 8 5 5 9.21e-05 7.86
918.044 "O I" 8 8 5 3 6.15e-06 6.68
918.1294 "H I" 1 1 2 6 0.000921 11.93
918.569 CrIII 24 22 1 3 0.00611 6.43
919.3514 "H I" 1 1 2 6 0.0012 12.04
919.658 "O I" 8 8 5 7 0.000659 8.71
919.658 "O I" 8 8 5 5 0.000118 7.97
919.658 "O I" 8 8 5 3 7.85e-06 6.79
919.781 ArII 18 17 4 2 0.0181 7.78
919.908 "O I" 8 8 5 3 0.000176 8.14
920.9631 "H I" 1 1 2 6 0.0016 12.17
921.501 FeII 26 "25 1" 0 8 0.00057 7.23
921.86 "O I" 8 8 5 7 0.000903 8.85
921.86 "O I" 8 8 5 5 0.000162 8.1
921.86 "O I" 8 8 5 3 1.08e-05 6.93
922.2 "O I" 8 8 5 3 0.000242 8.28
923.1504 "H I" 1 1 2 6 0.00222 12.31
923.78 CrIII 24 22 1 3 0.0811 7.55
923.879 FeII 26 "25 1" 0 8 0.00186 7.75
924.952 "O I" 8 8 5 7 0.00129 9.01
924.952 "O I" 8 8 5 5 0.000229 8.26
924.952 "O I" 8 8 5 3 1.53e-05 7.08
925.442 "O I" 8 8 5 3 0.00035 8.44
926.212 FeII 26 "25 1" "0 1" 0 0.0438 9.12
926.2257 "H I" 1 1 2 6 0.00319 12.47
926.898 FeII 26 "25 1" 0 8 0.0059 8.25
928.179 NiII 28 27 6 4 6.51e-06 4.03
928.325 FeII 26 "25 1" "0 1" 2 0.000356 7.03
929.5168 "O I" 8 8 5 7 0.0019 9.18
929.5168 "O I" 8 8 5 5 0.000341 8.43
929.5168 "O I" 8 8 5 3 2.27e-05 7.25
929.972 CoIII 27 "25 1" 0 8 0.0119 5.95
930.2566 "O I" 8 8 5 3 0.000532 8.62
930.7483 "H I" 1 1 2 6 0.00482 12.65
933.134 FeII 26 "25 1" 0 8 0.00011 6.52
933.34 NiII 28 27 6 4 0.00173 6.46
933.378 "S VI" 16 11 2 4 0.445 9.89
933.862 NiII 28 27 6 6 0.000585 5.99
935.2738 AlII 13 12 1 3 0.003 6.93
935.518 FeII 26 "25 1" "0 1" 2 0.00372 8.05
935.772 FeII 26 "25 1" 0 8 0.000323 6.99
936.6295 "O I" 8 8 5 7 0.00302 9.38
936.6295 "O I" 8 8 5 5 0.00054 8.63
936.6295 "O I" 8 8 5 3 3.6e-05 7.46
936.637 CoIII 27 "25 1" "0 1" 0 0.048 6.56
937.652 FeII 26 "25 1" "0 1" 2 0.0195 8.77
937.8035 "H I" 1 1 2 6 0.0078 12.86
937.8405 "O I" 8 8 5 3 0.000867 8.84
937.906 NiII 28 27 6 8 0.0001 5.22
938.011 FeII 26 "25 1" 0 8 0.00183 7.74
939.061 CoIII 27 "25 1" 0 8 0.0897 6.84
939.165 FeII 26 "25 1" 0 8 0.00146 7.65
940.192 FeII 26 "25 1" "0 1" 0 0.0121 8.57
940.883 NiII 28 27 6 6 3.98e-05 4.82
944.523 "S VI" 16 11 2 2 0.22 9.59
944.633 NiII 28 27 6 6 0.00176 6.47
944.84 NiII 28 27 6 8 0.000733 6.09
945.191 "C I" 6 6 1 3 0.2726 10.97
945.338 "C I*" 6 6 3 3 0.2725 10.97
945.579 "C I**" 6 6 5 3 0.2725 10.97
946.353 NiII 28 27 6 6 7.11e-06 4.08
946.7033 MgII 12 11 2 4 0.000665 7.38
946.7694 MgII 12 11 2 2 0.000332 7.08
947.876 NiII 28 27 6 8 0.000145 5.39
948.6855 "O I" 8 8 5 7 0.00524 9.63
948.6855 "O I" 8 8 5 5 0.000937 8.88
948.6855 "O I" 8 8 5 3 6.25e-05 7.7
949.7431 "H I" 1 1 2 6 0.0139 13.12
950.1121 "O I*" 8 8 "" -1 0.00644 9.72
950.657 "P IV" 15 12 1 3 1.16 8.61
950.7327 "O I**" 8 8 "" -1 0.00643 9.72
950.8846 "O I" 8 8 5 3 0.00157 9.1
951.0791 "N I" 7 7 4 6 0.000129 7.14
951.2947 "N I" 7 7 4 4 1.81e-05 6.29
951.87 "F I" 9 9 4 2 0.0158 5.66
952.297 CoIII 27 "25 1" 0 8 0.00802 5.79
952.3034 "N I" 7 7 4 6 0.00176 8.27
952.3178 "O I*" 8 8 "" -1 0.00157 9.1
952.4148 "N I" 7 7 4 4 0.00156 8.22
952.5227 "N I" 7 7 4 2 0.000417 7.65
952.9413 "O I**" 8 8 "" -1 0.00157 9.1
953.4152 "N I" 7 7 4 2 0.0116 9.09
953.6549 "N I" 7 7 4 4 0.0231 9.39
953.9699 "N I" 7 7 4 6 0.0347 9.57
954.1042 "N I" 7 7 4 6 0.00442 8.68
954.826 "F I" 9 9 4 4 0.0789 6.36
955.2643 "N I" 7 7 4 6 5.02e-05 6.73
955.437 "N I" 7 7 4 4 1.16e-06 5.09
955.5292 "N I" 7 7 4 2 1.73e-05 6.27
955.598 NiII 28 27 6 8 0.000547 5.97
955.8814 "N I" 7 7 4 4 5.87e-05 6.8
956.908 NiII 28 27 6 6 0.000315 5.73
959.4936 "N I" 7 7 4 4 1.61e-05 6.24
960.201 "N I" 7 7 4 2 3.61e-06 5.59
961.041 "P II" 15 14 1 3 0.349 8.1
963.801 "P II" 15 14 1 3 1.46 8.72
963.9903 "N I" 7 7 4 6 0.0157 9.23
964.6256 "N I" 7 7 4 4 0.0105 9.06
965.0413 "N I" 7 7 4 2 0.00522 8.75
966.165 CoIII 27 "25 1" 0 8 0.00123 4.98
966.333 M91(X) -1 "" "" -1 nan 7.0
967.24 CoIII 27 "25 1" "0 1" 0 0.00123 4.99
968.567 CoIII 27 "25 1" "0 1" 2 3.04e-06 2.38
971.7371 "O I" 8 8 5 3 0.000154 8.11
971.7376 "O I" 8 8 5 5 0.00231 9.28
971.7382 "O I" 8 8 5 7 0.013 10.03
972.1418 "O I" 8 8 5 3 4.48e-07 5.57
972.1422 "O I" 8 8 5 5 3.1e-05 7.41
972.1428 "O I" 8 8 5 7 0.000317 8.42
972.38 "F I" 9 9 4 2 1.09e-05 2.51
972.5368 "H I" 1 1 2 6 0.029 13.45
972.779 "P II" 15 14 1 3 0.00132 5.68
973.1877 ClIV 17 14 1 3 0.0444 6.91
973.2339 "O I*" 8 8 "" -1 0.0037 9.49
973.2343 "O I*" 8 8 "" -1 0.0111 9.96
973.305 NiII 28 27 6 4 1.1e-05 4.28
973.6395 "O I*" 8 8 "" -1 9.36e-08 4.89
973.6398 "O I*" 8 8 "" -1 1.83e-05 7.18
973.6402 "O I*" 8 8 "" -1 0.000175 8.16
973.8852 "O I**" 8 8 "" -1 0.0148 10.09
973.895 "F I" 9 9 4 4 0.000294 3.94
974.07 "O I" 8 8 5 5 2e-05 7.22
974.2916 "O I**" 8 8 "" -1 8.91e-05 7.87
975.574 "O I*" 8 8 "" -1 nan 7.22
976.4481 "O I" 8 8 5 3 0.00327 9.43
976.508 "F I" 9 9 4 6 6.43e-06 2.28
977.02 "C III" 6 4 1 3 0.767 11.43
977.9594 "O I*" 8 8 "" -1 0.00329 9.44
978.617 "O I**" 8 8 "" -1 0.00329 9.44
982.755 NiII 28 27 6 6 0.000191 5.52
984.142 ZnII 30 29 2 4 0.00225 5.0
984.2865 ClI 17 17 4 2 0.0244 6.65
986.525 ZnII 30 29 2 2 0.00071 4.5
986.621 M91(X) -1 "" "" -1 nan 8.0
987.027 M91(X) -1 "" "" -1 nan 7.0
987.9145 ClI 17 17 4 6 0.0378 6.84
988.5778 "O I" 8 8 5 3 0.000535 8.65
988.6549 "O I" 8 8 5 5 0.00803 9.83
988.7734 "O I" 8 8 5 7 0.0449 10.58
989.799 "N III" 7 5 2 4 0.122 10.13
989.8731 SiII 14 13 2 4 0.171 9.78
990.1269 "O I*" 8 8 "" -1 0.0128 10.03
990.2043 "O I*" 8 8 "" -1 0.0385 10.51
990.801 "O I**" 8 8 "" -1 0.0513 10.64
992.6828 SiII* 14 13 "" -1 0.119 9.62
992.6956 SiII* 14 13 "" -1 0.193 8.67
993.0 NeVI 10 5 2 4 1.05e-07 4.11
993.947 NiII 28 27 6 6 3.58e-05 4.8
996.5402 ClI 17 17 4 6 0.0208 6.59
997.4 NeVI 10 5 2 2 2.45e-06 5.48
997.5375 ClI 17 17 4 4 0.000929 5.24
998.0 "P III" 15 13 2 2 0.112 7.62
999.1011 GeII 32 31 2 4 0.0568 5.38
1001.561 NiII 28 27 6 8 6.67e-06 4.07
1001.958 "V III" 23 21 4 6 7.53e-05 2.9
1002.3464 ClI 17 17 4 6 0.0705 7.12
1002.435 FeII 26 "25 1" "0 1" 0 1.82e-06 4.77
1003.372 "N I" 7 7 4 4 4.89e-08 3.74
1003.377 "N I" 7 7 4 6 3.39e-07 4.58
1003.48 FeII 26 "25 1" "0 1" 0 4.63e-06 5.18
1003.658 FeII 26 "25 1" 0 8 2.17e-07 3.85
1004.6676 ClI 17 17 4 2 0.158 7.47
1004.939 "V III" 23 21 4 4 0.00074 3.89
1005.2779 ClIII 17 15 4 2 0.00717 6.13
1005.631 "V III" 23 21 4 6 0.000574 3.78
1005.848 NiII 28 27 6 8 0.000116 5.32
1008.253 "V III" 23 21 4 4 0.00822 4.94
1008.767 ClIII 17 15 4 4 0.0143 6.43
1009.354 "V III" 23 21 4 2 0.0221 5.37
1010.902 "B I" 5 5 2 2 0.000332 2.41
1011.136 FeII 26 "25 1" 0 8 1.58e-07 3.71
1012.501 "S III" 16 14 1 3 0.0425 8.9
1013.87 ClVI 17 12 1 3 0.000176 4.52
1014.233 FeII 26 "25 1" "0 1" 0 0.000266 6.94
1014.751 CoIII 27 "25 1" 0 8 0.000133 4.04
1014.859 FeII 26 "25 1" 0 8 3.74e-05 6.09
1015.0249 ClIII 17 15 4 6 0.0213 6.6
1016.35 FeII 26 "25 1" 0 8 1.7e-05 5.75
1017.387 CoIII 27 "25 1" "0 1" 0 9.4e-06 2.89
1017.515 CoII 27 26 9 7 0.000343 4.45
1020.6989 SiII 14 13 2 2 0.0151 8.74
1020.744 CoII 27 26 9 7 0.00114 4.98
1023.032 M91(X) -1 "" "" -1 nan 7.5
1023.487 CoII 27 26 9 9 0.000455 4.58
1023.7002 SiII* 14 13 "" -1 0.0282 9.01
1025.2821 ClI 17 17 4 6 0.0445 6.93
1025.678 CoII 27 26 9 7 0.000845 4.85
1025.4429 "D I" 1 1 2 4 0.05275 9.43
1025.444 "D I" 1 1 2 2 0.02637 9.13
1025.7219 "H I" 1 1 2 4 0.05274 13.73
1025.723 "H I" 1 1 2 2 0.02637 13.43
1025.7616 "O I" 8 8 5 7 0.0158 10.14
1025.7626 "O I" 8 8 5 5 0.00282 9.39
1025.7633 "O I" 8 8 5 3 0.000188 8.22
1025.9681 MgII 12 11 2 4 0.000936 7.56
1026.1134 MgII 12 11 2 2 0.000468 7.26
1026.4733 "O I" 8 8 5 3 2.35e-06 6.31
1026.4744 "O I" 8 8 5 5 0.000187 8.21
1026.4757 "O I" 8 8 5 7 0.00246 9.33
1027.1786 ClI 17 17 4 4 0.00345 5.82
1027.4305 "O I*" 8 8 "" -1 0.0152 10.12
1027.4313 "O I*" 8 8 "" -1 0.00507 9.65
1028.026 NiII 28 27 6 6 1.74e-06 3.5
1028.1431 "O I*" 8 8 "" -1 4.93e-07 5.64
1028.1436 "O I*" 8 8 "" -1 9.61e-05 7.93
1028.1447 "O I*" 8 8 "" -1 0.00103 8.95
1028.1571 "O I**" 8 8 "" -1 0.0203 10.24
1028.1739 ClI 17 17 4 4 0.0223 6.63
1028.8705 "O I**" 8 8 "" -1 0.000468 8.61
1029.3433 ClI 17 17 4 2 0.00117 5.35
1030.1 CrIII 24 22 1 3 0.0625 7.49
1030.259 CoII 27 26 9 9 0.00312 5.42
1030.8845 ClI 17 17 4 4 0.0287 6.74
1031.507 ClI 17 17 4 6 0.151 7.46
1031.542 CoII 27 26 "9 1" 1 0.00029 4.39
1031.9261 "O VI" 8 3 2 4 0.133 11.07
1032.52 "F VI" 9 4 1 3 3.51e-06 2.04
1033.331 CrIII 24 22 1 3 0.064 7.5
1036.299 BeII 4 3 2 4 0.0551 3.18
1036.319 BeII 4 3 2 2 0.0275 2.87
1036.3367 "C II" 6 5 2 2 0.122 10.66
1036.617 M91(X) -1 "" "" -1 nan 7.5
1037.0182 "C II*" 6 5 "" -1 0.123 10.67
1037.6167 "O VI" 8 3 2 2 0.0661 10.77
1037.808 FeII 26 "25 1" 0 8 6.24e-06 5.32
1039.078 FeII 26 "25 1" "0 1" 0 3.58e-07 4.08
1039.105 CoII 27 26 "9 1" 1 0.000325 4.44
1039.2304 "O I" 8 8 5 3 0.00904 9.9
1039.313 FeII 26 "25 1" 0 8 0.000141 6.68
1040.05 CrIII 24 22 1 3 0.122 7.78
1040.9425 "O I*" 8 8 "" -1 0.00918 9.9
1041.6876 "O I**" 8 8 "" -1 0.00918 9.9
1041.7148 ClI 17 17 4 2 0.00522 6.01
1041.92 CoII 27 26 9 9 0.000334 4.45
1042.7793 ClI 17 17 4 4 0.025 6.69
1043.9857 ClI 17 17 4 6 0.0181 6.55
1047.131 XeI 54 54 1 3 0.0641 4.06
1047.647 "B I" 5 5 2 4 0.00115 2.96
1047.695 "B I" 5 5 2 2 0.00231 3.26
1048.2199 ArI 18 18 1 3 0.244 8.97
1049.82 "S I" 16 16 5 5 0.0124 8.38
1050.101 XeI 54 54 1 3 0.00422 2.88
1050.3 "S I" 16 16 5 3 0.00415 7.91
1050.351 MnII 25 24 7 9 7.58e-05 4.43
1051.75 FeII 26 "25 1" 0 8 6.78e-07 4.36
1052.746 MnII 25 24 7 7 2e-05 3.85
1053.891 MnII 25 24 7 5 6.27e-07 2.35
1055.0261 GeII 32 31 2 2 0.0116 4.72
1055.2617 FeII 26 "25 1" 0 8 0.008 8.44
1055.534 M91(X) -1 "" "" -1 nan 7.0
1055.545 M91(X) -1 "" "" -1 nan 7.0
1055.9 NiII 28 27 6 8 3.21e-06 3.78
1056.123 XeI 54 54 1 3 0.123 4.34
1059.476 M91(X) -1 "" "" -1 nan 8.0
1061.25 XeI 54 54 1 3 0.00962 3.24
1061.685 FeII 26 "25 1" "0 1" 2 2.74e-05 5.97
1062.152 FeII 26 "25 1" "0 1" 0 0.0038 8.12
1062.198 CrII 24 23 6 6 0.00249 6.1
1062.662 "S IV" 16 13 2 4 0.0487 8.98
1063.002 FeII 26 "25 1" 0 8 3.12e-06 5.03
1063.1764 FeII 26 "25 1" "0 1" 0 0.06 9.31
1063.801 CrII 24 23 6 4 0.00218 6.05
1063.8311 ClII 17 16 5 3 0.00503 6.0
1063.9718 FeII 26 "25 1" 0 8 0.0045 8.19
1064.21 CrII 24 23 6 8 0.00432 6.34
1065.201 M91(X) -1 "" "" -1 nan 7.0
1065.768 M91(X) -1 "" "" -1 nan 7.0
1066.6599 ArI 18 18 1 3 0.0665 8.41
1069.66 FeII 26 "25 1" 0 8 2.15e-05 5.87
1069.695 FeII 26 "25 1" "0 1" 0 3.24e-06 5.05
1071.0358 ClII 17 16 5 5 0.015 6.48
1073.769 FeII 26 "25 1" 0 8 1.11e-06 4.59
1078.579 XeI 54 54 1 3 0.209 4.58
1079.293 CrII 24 23 6 8 0.00357 6.27
1079.8821 ClI 17 17 4 2 0.000653 5.12
1079.8821 FeII 26 "25 1" 0 8 1.54e-06 4.73
1081.8748 FeII 26 "25 1" "0 1" 2 0.014 8.69
1081.935 FeII 26 "25 1" "0 1" 0 3.13e-05 6.04
1082.041 CrII 24 23 6 6 0.00269 6.14
1083.4204 FeII 26 "25 1" "0 1" 0 0.00406 8.15
1083.63 FeII 26 "25 1" 0 8 4.09e-07 4.16
1083.9937 "N II" 7 6 1 3 0.109 10.12
1084.183 CrII 24 23 6 4 0.00177 5.96
1084.562 "N II*" 7 6 "" -1 0.0258 9.5
1084.58 "N II*" 7 6 "" -1 0.0773 9.97
1084.667 ClI 17 17 4 4 0.011 6.35
1084.9315 FeII 26 "25 1" "0 1" 0 1.09e-05 5.58
1084.992 FeII 26 "25 1" "0 1" 2 0.000783 7.44
1085.1381 FeII 26 "25 1" 0 8 0.000154 6.73
1085.1709 ClI 17 17 4 2 8.67e-05 4.24
1085.3035 ClI 17 17 4 4 1.27e-05 3.41
1085.437 XeI 54 54 1 3 0.0217 3.6
1085.529 "N II**" 7 6 "" -1 0.00103 8.1
1085.579 FeII 26 "25 1" "0 1" 0 0.000121 6.63
1085.546 "N II**" 7 6 "" -1 0.0154 9.27
1085.701 "N II**" 7 6 "" -1 0.0865 10.02
1085.903 FeII 26 "25 1" 0 8 1.29e-06 4.66
1088.0589 ClI 17 17 4 6 0.0159 6.51
1088.5 GeIII 32 30 1 3 1.79 6.92
1090.7387 ClI 17 17 4 4 0.00252 5.71
1090.9815 ClI 17 17 4 6 0.00244 5.7
1092.1287 ClI 17 17 4 2 0.00462 5.97
1092.4365 ClI 17 17 4 4 0.00931 6.28
1092.62 "S I" 16 16 5 5 0.011 8.35
1092.99 "S I" 16 16 5 3 0.00368 7.87
1094.7686 ClI 17 17 4 6 0.00112 5.36
1096.8098 ClI 17 17 4 4 0.0134 6.44
1096.8769 FeII 26 "25 1" 0 8 0.032 9.06
1097.3692 ClI 17 17 4 6 0.0423 6.94
1098.0683 ClI 17 17 4 2 0.000256 4.72
1099.523 ClI 17 17 4 4 0.00381 5.89
1099.712 XeI 54 54 1 3 0.0236 3.64
1101.008 M91(X) -1 "" "" -1 nan 7.0
1101.5567 FeII 26 "25 1" 0 8 2.81e-06 5.0
1101.9361 ClI 17 17 4 6 0.0384 6.9
1103.316 "C I" 6 6 1 3 nan nan
1103.516 "C I*" 6 6 3 3 nan nan
1103.629 "C I" 6 6 1 3 0.01445 9.76
1103.828 "C I*" 6 6 3 3 0.002837 9.06
1103.845 "C I**" 6 6 5 3 nan nan
1103.991 "C I" 6 6 1 3 nan nan
1104.157 "C I**" 6 6 5 3 nan nan
1104.19 "C I*" 6 6 3 3 nan nan
1104.427 "C I" 6 6 1 3 0.0007244 8.46
1104.52 "C I**" 6 6 5 3 nan nan
1104.627 "C I*" 6 6 3 3 0.0008972 8.56
1104.772 M91(X) -1 "" "" -1 nan 7.0
1104.942 "C I" 6 6 1 3 0.003631 9.16
1104.957 "C I**" 6 6 5 3 nan nan
1105.142 "C I*" 6 6 3 3 0.002837 9.06
1105.195 M91(X) -1 "" "" -1 nan 7.0
1105.472 "C I**" 6 6 5 3 nan nan
1105.532 "C I" 6 6 1 3 0.002291 8.96
1105.732 "C I*" 6 6 3 3 0.0113 9.66
1105.882 M91(X) -1 "" "" -1 nan 7.5
1106.063 "C I**" 6 6 5 3 nan nan
1106.2208 FeII 26 "25 1" 0 8 1.06e-05 5.58
1106.25 "C I" 6 6 1 3 0.0004571 8.26
1106.315 "C I" 6 6 1 3 0.005129 9.31
1106.3596 FeII 26 "25 1" "0 1" 0 0.0015 7.73
1106.449 "V II" 23 22 1 3 0.0239 5.44
1106.45 "C I*" 6 6 3 3 nan nan
1106.571 "V II" 23 22 1 3 0.123 6.15
1106.508 M91(X) -1 "" "" -1 nan 7.0
1106.781 "C I**" 6 6 5 3 nan nan
1107.043 "C I" 6 6 1 3 0.0003631 8.16
1107.146 "C I" 6 6 1 3 0.001148 8.66
1107.347 "C I*" 6 6 3 3 0.001422 8.76
1107.412 FeII 26 "25 1" 0 8 1.88e-09 1.83
1107.679 "C I**" 6 6 5 3 nan nan
1107.908 "C I" 6 6 1 3 nan nan
1108.109 "C I*" 6 6 3 3 nan nan
1108.26 "C I" 6 6 1 3 nan nan
1108.441 "C I**" 6 6 5 3 nan nan
1108.462 "C I*" 6 6 3 3 nan nan
1108.504 FeII 26 "25 1" "0 1" 2 6.21e-05 6.35
1108.794 "C I**" 6 6 5 3 nan nan
1109.031 "C I" 6 6 1 3 0.008912 9.56
1109.16 ZnI 30 30 1 3 0.0169 5.92
1109.233 "C I*" 6 6 3 3 nan nan
1109.565 "C I**" 6 6 5 3 nan nan
1109.634 "C I" 6 6 1 3 0.007079 9.46
1109.836 "C I*" 6 6 3 3 nan nan
1110.169 "C I**" 6 6 5 3 nan nan
1110.2803 FeII 26 "25 1" "0 1" 0 0.00112 7.6
1110.441 "C I" 6 6 1 3 0.003548 9.16
1110.5832 FeII 26 "25 1" "0 1" 0 7.85e-08 3.45
1110.708 XeI 54 54 1 3 0.0832 4.2
1111.421 "C I" 6 6 1 3 0.008912 9.56
1111.624 "C I*" 6 6 3 3 0.003572 9.16
1111.7255 "C I*" 6 6 3 5 0.01205 9.69
1111.957 "C I**" 6 6 5 3 nan nan
1112.048 FeII 26 "25 1" "0 1" 2 0.00912 8.52
1112.058 "C I**" 6 6 5 7 0.0135 9.74
1112.0593 "C I**" 6 6 5 5 0.00241 8.99
1112.269 "C I" 6 6 1 3 0.01606 9.81
1112.472 "C I*" 6 6 3 3 0.004015 9.21
1112.806 "C I**" 6 6 5 3 0.0001607 7.81
1113.793 "C I" 6 6 1 3 0.003981 9.21
1113.996 "C I*" 6 6 3 3 nan nan
1114.1258 "C I*" 6 6 3 5 0.008474 9.54
1114.332 "C I**" 6 6 5 3 nan nan
1114.457 "C I**" 6 6 5 7 0.009488 9.58
1114.4611 "C I**" 6 6 5 5 0.001694 8.84
1114.628 "C I" 6 6 1 3 0.01129 9.66
1114.832 "C I*" 6 6 3 3 0.002823 9.06
1114.872 M91(X) -1 "" "" -1 nan 7.3
1115.168 "C I**" 6 6 5 3 0.000113 7.66
1117.0 "C I" 6 6 1 3 0.000389 8.2
1117.132 "C I" 6 6 1 3 0.0002307 7.97
1117.205 "C I*" 6 6 3 3 7.126e-07 5.46
1117.244 "C I*" 6 6 3 5 6.351e-05 7.41
1117.337 "C I*" 6 6 3 3 4.852e-05 7.29
1117.542 "C I**" 6 6 5 3 1.954e-05 6.9
1117.581 "C I**" 6 6 5 5 5.383e-05 7.34
1117.6215 "C I**" 6 6 5 7 1.099e-05 6.65
1117.674 "C I**" 6 6 5 3 5.808e-05 7.37
1117.393 "C I*" 6 6 3 5 0.004215 9.23
1117.69 "C I*" 6 6 3 5 0.0001484 7.78
1117.724 "C I**" 6 6 5 7 0.004719 9.28
1117.7302 "C I**" 6 6 5 5 0.0008427 8.53
1117.847 "V III" 23 21 4 6 0.000984 4.06
1117.866 "C I" 6 6 1 3 0.005618 9.36
1117.9202 "C I" 6 6 1 3 0.0003561 8.16
1117.977 "P V" 15 11 2 4 0.473 8.29
1118.03 "C I**" 6 6 5 5 0.0002671 8.04
1118.07 "C I*" 6 6 3 3 0.001404 8.76
1118.1252 "C I*" 6 6 3 3 8.901e-05 7.56
1118.15 "C I*" 6 6 3 1 0.0001187 7.68
1118.18 "C I*" 6 6 3 5 3.183e-05 7.11
1118.206 MnII 25 24 7 7 9.16e-05 4.54
1118.3796 "C I*" 6 6 3 5 0.0001238 7.7
1118.408 "C I**" 6 6 5 3 5.619e-05 7.36
1118.4629 "C I**" 6 6 5 3 8.898e-05 7.56
1118.491 "C I**" 6 6 5 7 3.396e-05 7.14
1118.518 "C I**" 6 6 5 5 9.355e-06 6.58
1118.7174 "C I**" 6 6 5 5 6.472e-05 7.42
1121.158 "V III" 23 21 4 4 0.0194 5.36
1121.452 "C I" 6 6 1 3 0.001774 8.86
1121.5196 "C I" 6 6 1 3 0.0003548 8.16
1121.641 "C I*" 6 6 3 1 0.0005914 8.38
1121.658 "C I*" 6 6 3 3 0.0004435 8.26
1121.7132 "C I" 6 6 1 3 nan nan
1121.7259 "C I*" 6 6 3 3 3.411e-07 5.14
1121.758 "C I*" 6 6 3 5 0.0007391 8.48
1121.9196 "C I*" 6 6 3 3 nan nan
1121.9748 FeII 26 "25 1" 0 8 0.02 8.86
1121.998 "C I**" 6 6 5 3 0.0004434 8.26
1122.0038 "C I*" 6 6 3 5 0.002125 8.94
1122.0657 "C I**" 6 6 5 3 1.178e-05 6.68
1122.098 "C I**" 6 6 5 5 0.00133 8.73
1122.1795 "C I**" 6 6 5 7 0.0004477 8.26
1122.2595 "C I**" 6 6 5 3 0.01416 9.76
1122.28 "C I*" 6 6 3 5 0.0009293 8.58
1122.334 "C I**" 6 6 5 7 0.002379 8.99
1122.3438 "C I**" 6 6 5 5 0.0004248 8.24
1122.438 "C I" 6 6 1 3 0.002832 9.06
1122.5183 "C I" 6 6 1 3 0.00223 8.96
1122.524 FeIII 26 24 9 7 0.0797 9.46
1122.597 MnII 25 24 7 5 5.03e-05 4.28
1122.62 "C I**" 6 6 5 5 0.001672 8.83
1122.644 "C I*" 6 6 3 3 0.0007079 8.46
1122.725 "C I*" 6 6 3 3 0.0005573 8.36
1122.7727 "C I*" 6 6 3 1 0.0007431 8.48
1122.794 "C I*" 6 6 3 5 0.0005661 8.36
1122.985 "C I**" 6 6 5 3 2.833e-05 7.06
1123.0654 "C I**" 6 6 5 3 0.0005572 8.36
1123.105 "C I**" 6 6 5 7 0.0002143 7.94
1123.119 "C I*" 6 6 3 5 5.532e-06 6.35
1123.135 "C I**" 6 6 5 5 2.296e-07 4.97
1123.4597 "C I**" 6 6 5 5 1.205e-05 6.69
1123.524 "V III" 23 21 4 2 0.0561 5.82
1124.298 "V III" 23 21 4 6 0.000169 3.3
1124.945 "P II" 15 14 1 3 0.00126 5.72
1125.4478 FeII 26 "25 1" 0 8 0.011 8.6
1127.0984 FeII 26 "25 1" "0 1" 0 0.003 8.04
1128.008 "P V" 15 11 2 2 0.235 7.99
1128.079 "C I" 6 6 1 3 0.002808 9.06
1128.1713 "C I" 6 6 1 3 0.001122 8.66
1128.3801 "C I*" 6 6 3 3 nan nan
1128.724 "C I**" 6 6 5 3 nan nan
1128.252 "C I*" 6 6 3 1 0.0009358 8.58
1128.287 "C I*" 6 6 3 3 0.0007018 8.46
1128.408 "C I*" 6 6 3 5 0.00117 8.68
