lambda ion Z num_e gl gu fosc P
327.137 SiIV 14 11 2 4 0.00557 7.81
327.181 SiIV 14 11 2 2 0.00279 7.51
327.244 NeII 10 9 4 2 0.00704 8.45
327.262 NeII 10 9 4 4 0.0351 9.15
328.29 CrXIII 24 12 1 3 0.901 8.15
328.336 TiXIX 22 4 1 3 0.00066 4.27
328.47 "P V" 15 11 2 4 0.037 6.65
328.472 NeII 10 9 4 2 0.000795 7.51
328.775 "P V" 15 11 2 2 0.018 6.34
328.975 NeII 10 9 4 4 0.00397 8.21
329.11 CaIV 20 17 4 4 0.082 7.77
329.151 NeV 10 6 1 3 6.54e-08 3.42
329.28 MnXII 25 14 1 3 0.054 6.78
329.371 CaIV 20 17 4 2 0.123 7.95
329.774 NeII 10 9 4 2 0.00186 7.88
330.216 NeII 10 9 4 4 0.00928 8.58
330.66 NeII 10 9 4 4 0.00422 8.23
330.79 NeII 10 9 4 6 0.0379 9.19
331.434 CaIV 20 17 4 4 0.611 8.65
331.767 TiVI 22 17 4 2 0.00019 3.73
331.986 CaIV 20 17 4 6 0.732 8.73
332.14 "N III" 7 5 2 2 0.00614 8.36
332.783 AlX 13 4 1 3 0.287 8.46
333.44 CaVI 20 15 4 2 0.417 8.48
333.857 CaV 20 16 5 3 0.00405 6.47
334.056 NeIV 10 7 4 2 5.51e-06 5.35
334.14 CaVI 20 15 4 4 0.832 8.78
334.178 FeXIV 26 13 2 4 0.0709 8.88
335.23 MgVIII 12 5 2 2 0.041 8.72
335.33 CaVI 20 15 4 6 1.24 8.96
335.344 CaV 20 16 5 5 0.0121 6.95
335.407 FeXVI 26 11 2 4 0.265 9.46
335.664 NaV 11 7 4 4 7.93e-08 1.74
335.702 NaV 11 7 4 6 8.36e-10 -0.24
337.56 ArV 18 14 1 3 0.142 8.24
338.82 CoXIII 27 15 4 6 0.047 6.11
338.822 CaIV 20 17 4 2 0.105 7.89
338.824 CaVII 20 14 1 3 1.14 8.93
339.494 CoXVII 27 11 2 2 0.119 6.52
340.282 CaIV 20 17 4 4 0.522 8.59
340.389 CaV 20 16 5 3 0.283 8.32
341.113 FeXI 26 16 5 3 0.016 8.25
341.291 CaIV 20 17 4 2 0.45 8.53
341.95 SiIX 14 6 1 3 0.0705 8.93
344.772 CaXVIII 20 3 2 2 0.0236 7.25
345.448 NeIII 10 8 5 3 9.96e-05 6.63
345.723 FeX 26 17 4 2 0.0286 8.51
346.123 "V XI" 23 13 2 2 0.16 5.76
346.69 ScXVII 21 5 2 2 0.00023 1.99
346.852 FeXII 26 15 4 2 0.0177 8.3
347.021 CaVII 20 14 1 3 0.464 8.55
347.417 SiX 14 5 2 4 0.0662 8.91
348.184 FeXIII 26 14 1 3 0.0533 8.78
348.605 ScXVIII 21 4 1 3 0.00051 2.34
348.789 "F II" 9 8 5 3 0.00557 4.77
348.795 "F II" 9 8 5 5 0.0168 5.25
349.639 ArIII 18 16 5 5 0.00497 6.8
349.795 ArIII 18 16 5 3 0.00166 6.32
350.61 TiX 22 13 2 4 0.172 6.71
350.645 NaVII 11 5 2 4 0.0754 7.73
351.088 MgV 12 8 5 3 0.0396 8.72
352.107 FeXII 26 15 4 4 0.035 8.6
352.145 AlVII 13 7 4 2 0.0317 7.53
352.2466 NeII 10 9 4 2 0.00252 8.04
352.275 NaVII 11 5 2 2 0.15 8.03
352.661 FeXI 26 16 5 5 0.0464 8.72
352.9561 NeII 10 9 4 4 0.0125 8.73
353.091 MgV 12 8 5 5 0.118 9.2
353.423 "F II" 9 8 5 5 0.0215 5.36
353.466 "F II" 9 8 5 3 0.00716 4.88
353.769 AlVII 13 7 4 4 0.0631 7.83
353.92 ArXVI 18 3 2 4 0.0579 7.87
354.165 CaVIII 20 13 2 4 0.768 8.77
354.485 ArIII 18 16 5 5 0.00876 7.05
354.61 ArIII 18 16 5 3 0.00292 6.58
354.9622 NeII 10 9 4 4 0.0327 9.15
355.11 "V XII" 23 12 1 3 0.947 6.55
355.4541 NeII 10 9 4 2 0.00654 8.46
355.815 TiX 22 13 2 2 0.247 6.87
356.5405 NeII 10 9 4 4 0.011 8.68
356.7995 NeII 10 9 4 6 0.0994 9.64
356.88 AlVII 13 7 4 6 0.0939 8.01
357.95 NeV 10 6 1 3 0.139 9.79
357.969 CaIII 20 18 1 3 3.83 9.48
359.203 CrXI 24 14 1 3 0.055 6.98
360.798 FeXVI 26 11 2 2 0.122 9.15
360.97 MnXV 25 11 2 4 0.281 7.54
361.4326 NeII 10 9 4 2 0.0098 8.64
361.56 SiIV 14 11 2 4 0.0108 8.14
361.57 MnXIII 25 13 2 4 0.076 6.97
361.659 SiIV 14 11 2 2 0.00537 7.84
363.444 FeV 26 22 1 3 0.00439 7.71
363.77 MgVII 12 6 1 3 0.092 9.1
364.468 FeXII 26 15 4 6 0.0507 8.78
365.44 FeV 26 22 1 3 0.0769 8.96
365.656 "K XVII" 19 3 2 2 0.0248 6.09
366.7 NiXVII 28 12 1 3 0.0035 6.36
367.308 ArIII 18 16 5 7 0.0179 7.38
367.393 ArIII 18 16 5 5 0.0032 6.63
367.474 ArIII 18 16 5 3 0.000214 5.46
367.555 ArIII 18 16 5 3 0.0128 7.23
368.071 MgIX 12 4 1 3 0.314 9.64
